web-scraper-order,web-scraper-start-url,movies,
"1525943565-18744","https://bechdeltest.com/?list=all","The Swing","null"
"1525943565-16958","https://bechdeltest.com/?list=all","Descendants 2","null"
"1525943565-19730","https://bechdeltest.com/?list=all","Planet 51","null"
"1525943565-22845","https://bechdeltest.com/?list=all","Legend","null"
"1525943565-20620","https://bechdeltest.com/?list=all","Fantastic Four","null"
"1525943565-24277","https://bechdeltest.com/?list=all","Born to Dance","null"
"1525943565-21015","https://bechdeltest.com/?list=all","It's Better to Be Wanted for Murder Than Not to Be Wanted at All","null"
"1525943565-18547","https://bechdeltest.com/?list=all","Evangelion: 3.0 You Can (Not) Redo","null"
"1525943565-21272","https://bechdeltest.com/?list=all","Antitrust","null"
"1525943565-17247","https://bechdeltest.com/?list=all","Kubo and the Two Strings","null"
"1525943565-18934","https://bechdeltest.com/?list=all","Hick","null"
"1525943565-20936","https://bechdeltest.com/?list=all","Three... Extremes","null"
"1525943565-18781","https://bechdeltest.com/?list=all","The Words","null"
"1525943565-21198","https://bechdeltest.com/?list=all","One Hour Photo","null"
"1525943565-17136","https://bechdeltest.com/?list=all","Batman: The Killing Joke","null"
"1525943565-18875","https://bechdeltest.com/?list=all","The Decoy Bride","null"
"1525943565-20410","https://bechdeltest.com/?list=all","For the Love of a Child","null"
"1525943565-22169","https://bechdeltest.com/?list=all","Don't Drink the Water","null"
"1525943565-22771","https://bechdeltest.com/?list=all","Hannah and Her Sisters","null"
"1525943565-18044","https://bechdeltest.com/?list=all","Zombeavers","null"
"1525943565-21381","https://bechdeltest.com/?list=all","The Princess Diaries","null"
"1525943565-22302","https://bechdeltest.com/?list=all","The Pelican Brief","null"
"1525943565-18428","https://bechdeltest.com/?list=all","Witching and Bitching","null"
"1525943565-22311","https://bechdeltest.com/?list=all","Robin Hood: Men in Tights","null"
"1525943565-22288","https://bechdeltest.com/?list=all","Indian Summer","null"
"1525943565-18802","https://bechdeltest.com/?list=all","About Sunny","null"
"1525943565-20979","https://bechdeltest.com/?list=all","Dead Like Me","null"
"1525943565-19683","https://bechdeltest.com/?list=all","Lost Persons Area","null"
"1525943565-22710","https://bechdeltest.com/?list=all","Hard Ticket to Hawaii","null"
"1525943565-18400","https://bechdeltest.com/?list=all","Trance","null"
"1525943565-18502","https://bechdeltest.com/?list=all","Call Me Kuchu","null"
"1525943565-22712","https://bechdeltest.com/?list=all","High Tide","null"
"1525943565-16896","https://bechdeltest.com/?list=all","Isle of Dogs","null"
"1525943565-19619","https://bechdeltest.com/?list=all","The Girl on the Train","null"
"1525943565-23588","https://bechdeltest.com/?list=all","Frankenstein Conquers the World","null"
"1525943565-17127","https://bechdeltest.com/?list=all","Assassin's Creed","null"
"1525943565-24118","https://bechdeltest.com/?list=all","National Velvet","null"
"1525943565-17775","https://bechdeltest.com/?list=all","Effie Gray","null"
"1525943565-22344","https://bechdeltest.com/?list=all","Batman Returns","null"
"1525943565-22598","https://bechdeltest.com/?list=all","Resan till Melonia","null"
"1525943565-19738","https://bechdeltest.com/?list=all","The Proposal","null"
"1525943565-22696","https://bechdeltest.com/?list=all","The Chipmunk Adventure","null"
"1525943565-23611","https://bechdeltest.com/?list=all","Der Geteilte Himmel (Divided Heaven)","null"
"1525943565-18513","https://bechdeltest.com/?list=all","Cocktail","null"
"1525943565-24068","https://bechdeltest.com/?list=all","Devotion","null"
"1525943565-17003","https://bechdeltest.com/?list=all","John Wick: Chapter 2","null"
"1525943565-22740","https://bechdeltest.com/?list=all","Superman IV: The Quest for Peace","null"
"1525943565-17068","https://bechdeltest.com/?list=all","The Shape of Water","null"
